Configuration,Search Method,Solution State,Solution Depth,Nodes Expanded,Max Fringe Size,Branching Factor
"[0, 1, 2, 4, 5, 6, 3, 7, 9, 10, 11, 8, 13, 14, 15, 12]",breadthFirstSearch,Solved ,             6,           196,             205,            2.41
"[0, 1, 2, 4, 5, 6, 3, 7, 9, 10, 11, 8, 13, 14, 15, 12]",uniformCostSearch,Solved ,             6,           196,             308,            2.41
"[2, 6, 3, 4, 1, 0, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15]",depthFirstSearch,Solved ,             1,        922670,              39,               0
"[2, 6, 3, 4, 1, 0, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15]",breadthFirstSearch,Solved ,             8,           704,             793,            2.27
"[2, 6, 3, 4, 1, 0, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15]",uniformCostSearch,Solved ,             8,           704,            1171,            2.27
"[1, 2, 3, 4, 5, 0, 6, 8, 9, 10, 7, 11, 13, 14, 15, 12]",depthFirstSearch,Solved ,            22,         98031,              39,           1.686
"[1, 2, 3, 4, 5, 0, 6, 8, 9, 10, 7, 11, 13, 14, 15, 12]",breadthFirstSearch,Solved ,             4,            70,              77,           2.893
"[1, 2, 3, 4, 5, 0, 6, 8, 9, 10, 7, 11, 13, 14, 15, 12]",uniformCostSearch,Solved ,             4,            70,             113,           2.893
"[0, 1, 3, 4, 6, 2, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15]",depthFirstSearch,Solved ,            24,        323207,              36,           1.697
"[0, 1, 3, 4, 6, 2, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15]",breadthFirstSearch,Solved ,             8,           704,             792,            2.27
"[0, 1, 3, 4, 6, 2, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15]",uniformCostSearch,Solved ,             8,           704,            1165,            2.27
"[1, 2, 3, 4, 5, 6, 7, 0, 10, 11, 12, 8, 9, 13, 14, 15]",depthFirstSearch,Solved ,            24,        361019,              38,           1.704
"[1, 2, 3, 4, 5, 6, 7, 0, 10, 11, 12, 8, 9, 13, 14, 15]",breadthFirstSearch,Solved ,             8,           831,             924,           2.317
"[1, 2, 3, 4, 5, 6, 7, 0, 10, 11, 12, 8, 9, 13, 14, 15]",uniformCostSearch,Solved ,             8,           831,            1366,           2.317
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",depthFirstSearch,Solved ,             2,             3,               5,           1.732
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",breadthFirstSearch,Solved ,             2,            15,              20,           3.873
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",uniformCostSearch,Solved ,             2,            15,              29,           3.873
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 12, 8, 13, 14, 11, 15]",depthFirstSearch,Solved ,             6,        711343,              37,           9.448
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 12, 8, 13, 14, 11, 15]",breadthFirstSearch,Solved ,             6,           184,             209,           2.385
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 12, 8, 13, 14, 11, 15]",uniformCostSearch,Solved ,             6,           184,             306,           2.385
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",depthFirstSearch,Solved ,            20,        202410,              38,           1.842
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",breadthFirstSearch,Solved ,             2,             6,               7,           2.449
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",uniformCostSearch,Solved ,             2,             6,               9,           2.449
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 0, 10, 13, 11, 15, 12]",depthFirstSearch,Solved ,            24,         21866,              35,           1.516
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 0, 10, 13, 11, 15, 12]",breadthFirstSearch,Solved ,             8,          1454,            1558,           2.485
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 0, 10, 13, 11, 15, 12]",uniformCostSearch,Solved ,             8,          1454,            2338,           2.485
"[1, 6, 2, 4, 5, 3, 7, 8, 9, 10, 12, 15, 13, 14, 11, 0]",depthFirstSearch,Solved ,             1,        250270,              34,               0
"[1, 6, 2, 4, 5, 3, 7, 8, 9, 10, 12, 15, 13, 14, 11, 0]",breadthFirstSearch,Solved ,            10,          2282,            2527,           2.167
"[1, 6, 2, 4, 5, 3, 7, 8, 9, 10, 12, 15, 13, 14, 11, 0]",uniformCostSearch,Solved ,            10,          2282,            3746,           2.167
